player,nationality,position,team,comp_level,age,birth_year,games,playing_games_starts,playing_minutes,playing_minutes_90s,playing_goals,performance_assists,performance_goals_assists,performance_goals_pens,performance_pens_made,performance_pens_att,performance_cards_yellow,performance_cards_red,performance_xg,expected_npxg,expected_xg_assist,expected_npxg_xg_assist,expected_progressive_carries,progression_progressive_passes,progression_progressive_passes_received,progression_goals_per90,per90_assists_per90,per90_goals_assists_per90,per90_goals_pens_per90,per90_goals_assists_pens_per90,per90_xg_per90,per90_xg_assist_per90,per90_xg_xg_assist_per90,per90_npxg_per90,per90_npxg_xg_assist_per90,per90_matches,minutes_90s,tackles,tackles_tackles_won,tackles_tackles_def_3rd,tackles_tackles_mid_3rd,tackles_tackles_att_3rd,tackles_challenge_tackles,challenges_challenges,challenges_challenge_tackles_pct,challenges_challenges_lost,challenges_blocks,blocks_blocked_shots,blocks_blocked_passes,blocks_interceptions,tackles_interceptions,clearances,errors,sca,sca_sca_per90,sca_sca_passes_live,sca_types_sca_passes_dead,sca_types_sca_take_ons,sca_types_sca_shots,sca_types_sca_fouled,sca_types_sca_defense,sca_types_gca,gca_gca_per90,gca_gca_passes_live,gca_types_gca_passes_dead,gca_types_gca_take_ons,gca_types_gca_shots,gca_types_gca_fouled,gca_types_gca_defense,gca_types_matches,minutes_90s,cards_yellow,performance_cards_yellow_red,performance_fouls,performance_fouled,performance_offsides,performance_crosses,performance_interceptions,performance_tackles_won,performance_pens_won,performance_pens_conceded,performance_own_goals,performance_ball_recoveries,performance_aerials_won,aerials_aerials_lost,aerials_aerials_won_pct,aerials_matches,goals,standard_shots,standard_shots_on_target,standard_shots_on_target_pct,standard_shots_per90,standard_shots_on_target_per90,standard_goals_per_shot,standard_goals_per_shot_on_target,standard_average_shot_distance,standard_shots_free_kicks,standard_pens_made,standard_pens_att,standard_xg,expected_npxg_per_shot,expected_xg_net,expected_npxg_net,expected_matches,minutes_90s,passes_completed,passes_total_passes,passes_total_passes_pct,passes_total_passes_total_distance,passes_total_passes_progressive_distance,passes_total_passes_completed_short,passes_short_passes_short,passes_short_passes_pct_short,passes_short_passes_completed_medium,passes_medium_passes_medium,passes_medium_passes_pct_medium,passes_medium_passes_completed_long,passes_long_passes_long,passes_long_passes_pct_long,passes_long_assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_touches_def_pen_area,touches_touches_def_3rd,touches_touches_mid_3rd,touches_touches_att_3rd,touches_touches_att_pen_area,touches_touches_live_ball,touches_take_ons,take_ons_take_ons_won,take_ons_take_ons_won_pct,take_ons_take_ons_tackled,take_ons_take_ons_tackled_pct,take_ons_carries,carries_carries_distance,carries_carries_progressive_distance,carries_progressive_carries,carries_carries_into_final_third,carries_carries_into_penalty_area,carries_miscontrols,carries_dispossessed,carries_passes_received,receiving_progressive_passes_received,receiving_matches,playing_minutes_per_game,playing_minutes_pct,starts_minutes_per_start,starts_games_complete,starts_games_subs,subs_minutes_per_sub,subs_unused_subs,subs_points_per_game,team_success_on_goals_for,team_success_on_goals_against,team_success_plus_minus,team_success_plus_minus_per90,team_success_plus_minus_wowy,team_success_on_xg_for,xg_team_success_on_xg_against,xg_team_success_xg_plus_minus,xg_team_success_xg_plus_minus_per90,xg_team_success_xg_plus_minus_wowy,xg_team_success_matches,year_of_stat
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,0.1,1,1,100.0,38,8,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,3,1,3,0,0,0,3,0,0,,0,,1,3,1,0,0,0,0,0,1,0,Matches,6,0.3,,0,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.2,-0.2,-1.75,-1.81,Matches,CURRENT
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,"1,777",19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1,38,103,87,0.00,0.05,0.05,0.00,0.05,0.07,0.04,0.11,0.07,0.11,Matches,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2,30,1.52,27,2,1,0,0,0,3,0.15,2,1,0,0,0,0,Matches,19.7,2,0,11,3,3,40,30,22,0,0,0,136,11,13,45.8,Matches,0,18,5,27.8,0.91,0.25,0.00,0.00,21.1,3,0,0,1.4,0.08,-1.4,-1.4,Matches,19.7,906,1164,77.8,13287,5990,545,613,88.9,284,361,78.7,51,105,48.6,1,0.7,1.7,+0.3,11,71,20,4,103,1353,61,420,612,329,37,1353,22,10,45.5,12,54.5,728,3406,1622,38,29,9,24,6,800,87,Matches,81,52.0,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,17.1,30.9,-13.8,-0.70,-0.13,Matches,CURRENT
Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0.2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,0.2,12,15,80.0,178,44,7,9,77.8,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,16,0,5,4,7,1,16,1,1,100.0,0,0.0,11,50,37,1,1,0,0,0,8,1,Matches,9,0.6,,0,2,9,5,0.00,0,0,0,0.00,+0.50,0.9,0.0,+0.9,+4.36,+4.45,Matches,CURRENT
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,"2,889",32.1,3,0,3,3,0,0,4,1,1.9,1.9,0.3,2.2,18,99,3,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,Matches,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0,17,0.53,15,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,32.1,4,0,37,22,0,0,61,37,0,1,0,200,92,53,63.4,Matches,3,15,5,33.3,0.47,0.16,0.20,0.60,10.5,0,0,0,1.9,0.13,+1.1,+1.1,Matches,32.1,1506,1762,85.5,30174,12190,427,483,88.4,909,999,91.0,154,238,64.7,0,0.3,0.3,-0.3,4,76,1,0,99,2103,230,1160,920,38,23,2103,16,7,43.8,9,56.3,1255,6240,3618,18,5,1,14,12,1354,3,Matches,88,84.5,88,32,0,,0,1.18,37,39,-2,-0.06,+0.95,29.1,45.4,-16.2,-0.51,+1.20,Matches,CURRENT
Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0.7,1,0,2,1,0,1,0,0,0,0,0,1,1,3,25.0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,0.7,7,14,50.0,140,10,2,5,40.0,4,4,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,1,0,1,19,0,2,11,6,0,19,2,1,50.0,1,50.0,11,21,11,0,1,0,1,0,10,2,Matches,20,1.8,,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.4,-0.4,-0.65,-0.51,Matches,CURRENT
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,"1,320",14.7,0,0,0,0,0,0,5,0,1.0,1.0,0.8,1.8,32,65,16,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Matches,14.7,34,19,16,14,4,15,30,50.0,15,9,2,7,20,54,10,0,31,2.11,18,5,3,1,2,2,1,0.07,1,0,0,0,0,0,Matches,14.7,5,0,31,22,1,40,20,19,0,0,0,108,13,18,41.9,Matches,0,20,0,0.0,1.36,0.00,0.00,,23.9,1,0,0,1.0,0.05,-1.0,-1.0,Matches,14.7,605,718,84.3,10646,2928,279,298,93.6,239,266,89.8,70,116,60.3,0,0.8,0.7,-0.8,12,64,7,4,65,852,23,184,541,149,10,852,27,19,70.4,8,29.6,532,2865,1352,32,23,3,23,10,561,16,Matches,73,38.6,83,10,3,23,1,0.94,13,23,-10,-0.68,-0.77,16.2,22.8,-6.6,-0.45,-0.54,Matches,CURRENT
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,"2,963",32.9,3,1,4,3,0,0,5,0,1.5,1.5,1.7,3.3,32,138,35,0.09,0.03,0.12,0.09,0.12,0.05,0.05,0.10,0.05,0.10,Matches,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,0,59,1.79,45,0,3,6,4,1,9,0.27,6,0,1,1,1,0,Matches,32.9,5,0,44,37,0,26,46,84,1,0,0,231,9,17,34.6,Matches,3,29,10,34.5,0.88,0.30,0.10,0.30,26.8,0,0,0,1.5,0.05,+1.5,+1.5,Matches,32.9,1288,1564,82.4,22633,6551,591,661,89.4,524,596,87.9,145,224,64.7,1,1.7,1.4,-0.7,20,115,13,4,138,1940,31,486,1210,280,12,1940,37,29,78.4,8,21.6,1075,4705,2140,32,32,4,53,44,1288,35,Matches,78,86.6,85,22,6,40,0,1.11,42,53,-11,-0.33,+1.04,41.8,43.0,-1.2,-0.04,+0.52,Matches,CURRENT
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1,3,2,5,3,0,0,1,0,2.1,2.1,0.3,2.4,13,21,48,0.30,0.20,0.49,0.30,0.49,0.21,0.03,0.24,0.21,0.24,Matches,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,0,14,1.38,11,0,2,0,1,0,3,0.30,2,0,1,0,0,0,Matches,10.1,1,0,18,7,7,3,4,2,0,0,0,26,37,59,38.5,Matches,3,19,4,21.1,1.87,0.39,0.16,0.75,12.5,0,0,0,2.1,0.11,+0.9,+0.9,Matches,10.1,128,202,63.4,1703,317,81,111,73.0,27,44,61.4,9,17,52.9,2,0.3,0.3,+1.7,6,11,6,0,21,320,9,38,138,146,36,320,24,12,50.0,12,50.0,166,1056,424,13,15,2,33,20,242,48,Matches,38,26.7,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.5,16.1,-0.6,-0.06,-0.03,Matches,CURRENT
Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,100.0,0,0.0,1,0,0,0,0,0,0,0,1,0,Matches,2,0.1,,0,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.4,0.0,+0.4,+17.75,+17.50,Matches,CURRENT
Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,14,"1,260",14.0,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.5,2,31,1,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches,14.0,15,13,10,5,0,6,10,60.0,4,7,4,3,27,42,87,0,9,0.64,5,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,14.0,1,0,10,9,1,1,27,13,0,0,0,97,55,15,78.6,Matches,0,13,3,23.1,0.93,0.21,0.00,0.00,13.0,0,0,0,1.4,0.11,-1.4,-1.4,Matches,14.0,521,681,76.5,11246,4984,159,187,85.0,262,307,85.3,93,169,55.0,0,0.1,0.1,-0.1,3,31,1,0,31,858,115,504,335,22,16,858,4,2,50.0,2,50.0,440,2357,1307,2,2,1,9,0,463,1,Matches,90,36.8,90,14,0,,1,1.64,21,18,+3,+0.21,+0.84,20.0,19.6,+0.4,+0.03,+0.10,Matches,CURRENT
