player,nationality,position,team,comp_level,age,birth_year,games,playing_games_starts,playing_minutes,playing_minutes_90s,playing_goals,performance_assists,performance_goals_assists,performance_goals_pens,performance_pens_made,performance_pens_att,performance_cards_yellow,performance_cards_red,performance_xg,expected_npxg,expected_xg_assist,expected_npxg_xg_assist,expected_progressive_carries,progression_progressive_passes,progression_progressive_passes_received,progression_goals_per90,per90_assists_per90,per90_goals_assists_per90,per90_goals_pens_per90,per90_goals_assists_pens_per90,per90_xg_per90,per90_xg_assist_per90,per90_xg_xg_assist_per90,per90_npxg_per90,per90_npxg_xg_assist_per90,per90_matches,minutes_90s,tackles,tackles_tackles_won,tackles_tackles_def_3rd,tackles_tackles_mid_3rd,tackles_tackles_att_3rd,tackles_challenge_tackles,challenges_challenges,challenges_challenge_tackles_pct,challenges_challenges_lost,challenges_blocks,blocks_blocked_shots,blocks_blocked_passes,blocks_interceptions,tackles_interceptions,clearances,errors,sca,sca_sca_per90,sca_sca_passes_live,sca_types_sca_passes_dead,sca_types_sca_take_ons,sca_types_sca_shots,sca_types_sca_fouled,sca_types_sca_defense,sca_types_gca,gca_gca_per90,gca_gca_passes_live,gca_types_gca_passes_dead,gca_types_gca_take_ons,gca_types_gca_shots,gca_types_gca_fouled,gca_types_gca_defense,gca_types_matches,minutes_90s,cards_yellow,performance_cards_yellow_red,performance_fouls,performance_fouled,performance_offsides,performance_crosses,performance_interceptions,performance_tackles_won,performance_pens_won,performance_pens_conceded,performance_own_goals,performance_ball_recoveries,performance_aerials_won,aerials_aerials_lost,aerials_aerials_won_pct,aerials_matches,goals,standard_shots,standard_shots_on_target,standard_shots_on_target_pct,standard_shots_per90,standard_shots_on_target_per90,standard_goals_per_shot,standard_goals_per_shot_on_target,standard_average_shot_distance,standard_shots_free_kicks,standard_pens_made,standard_pens_att,standard_xg,expected_npxg_per_shot,expected_xg_net,expected_npxg_net,expected_matches,minutes_90s,passes_completed,passes_total_passes,passes_total_passes_pct,passes_total_passes_total_distance,passes_total_passes_progressive_distance,passes_total_passes_completed_short,passes_short_passes_short,passes_short_passes_pct_short,passes_short_passes_completed_medium,passes_medium_passes_medium,passes_medium_passes_pct_medium,passes_medium_passes_completed_long,passes_long_passes_long,passes_long_passes_pct_long,passes_long_assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_touches_def_pen_area,touches_touches_def_3rd,touches_touches_mid_3rd,touches_touches_att_3rd,touches_touches_att_pen_area,touches_touches_live_ball,touches_take_ons,take_ons_take_ons_won,take_ons_take_ons_won_pct,take_ons_take_ons_tackled,take_ons_take_ons_tackled_pct,take_ons_carries,carries_carries_distance,carries_carries_progressive_distance,carries_progressive_carries,carries_carries_into_final_third,carries_carries_into_penalty_area,carries_miscontrols,carries_dispossessed,carries_passes_received,receiving_progressive_passes_received,receiving_matches,playing_minutes_per_game,playing_minutes_pct,starts_minutes_per_start,starts_games_complete,starts_games_subs,subs_minutes_per_sub,subs_unused_subs,subs_points_per_game,team_success_on_goals_for,team_success_on_goals_against,team_success_plus_minus,team_success_plus_minus_per90,team_success_plus_minus_wowy,team_success_on_xg_for,xg_team_success_on_xg_against,xg_team_success_xg_plus_minus,xg_team_success_xg_plus_minus_per90,xg_team_success_xg_plus_minus_wowy,xg_team_success_matches,year_of_stat
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,22-133,2000,23,20,"1,718",19.1,1,2,3,1,0,0,2,0,2.7,2.7,3.2,5.8,28,64,108,0.05,0.10,0.16,0.05,0.16,0.14,0.17,0.31,0.14,0.31,Matches,19.1,31,11,10,16,5,10,29,34.5,19,30,2,28,1,32,5,1,68,3.56,44,10,5,3,5,1,5,0.26,3,0,0,1,0,1,Matches,19.1,2,0,12,42,3,50,1,11,0,0,0,90,6,22,21.4,Matches,1,31,5,16.1,1.62,0.26,0.03,0.20,18.8,2,0,0,2.7,0.09,-1.7,-1.7,Matches,19.1,435,583,74.6,5499,1608,251,308,81.5,113,146,77.4,16,44,36.4,2,3.2,1.7,-1.2,33,33,12,2,64,835,8,82,356,414,50,835,74,25,33.8,35,47.3,516,2676,1087,28,22,7,52,62,577,108,Matches,75,79.5,82,8,3,25,1,0.96,24,36,-12,-0.63,-1.04,24.7,29.7,-5.0,-0.26,-0.33,Matches,CURRENT
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-157,1987,25,25,"2,250",25.0,1,1,2,1,0,0,2,0,1.8,1.8,0.3,2.1,12,112,5,0.04,0.04,0.08,0.04,0.08,0.07,0.01,0.08,0.07,0.08,Matches,25.0,64,37,37,24,3,32,41,78.0,9,53,19,34,47,111,83,1,29,1.16,23,0,0,4,0,2,4,0.16,3,0,0,1,0,0,Matches,25.0,2,0,30,14,1,4,47,37,0,0,0,169,55,29,65.5,Matches,1,21,2,9.5,0.84,0.08,0.05,0.50,14.0,0,0,0,1.8,0.08,-0.8,-0.8,Matches,25.0,1002,1225,81.8,19773,8410,285,332,85.8,600,668,89.8,103,187,55.1,1,0.3,0.4,+0.7,8,73,2,0,112,1534,158,741,741,67,25,1534,19,9,47.4,10,52.6,1019,5954,3153,12,7,2,17,16,903,5,Matches,90,100.0,90,25,0,,0,1.48,33,26,+7,+0.28,,40.8,32.7,+8.1,+0.32,,Matches,CURRENT
Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,23-107,1999,17,11,"1,040",11.6,0,0,0,0,0,0,1,0,0.9,0.9,1.3,2.2,28,68,68,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19,Matches,11.6,33,17,12,17,4,18,32,56.3,14,15,1,14,13,46,8,0,29,2.51,27,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,11.6,1,0,22,12,0,13,13,17,0,0,0,87,10,14,41.7,Matches,0,11,3,27.3,0.95,0.26,0.00,0.00,19.7,0,0,0,0.9,0.08,-0.9,-0.9,Matches,11.6,462,571,80.9,7802,1967,216,256,84.4,181,214,84.6,50,71,70.4,0,1.3,1.2,-1.3,18,50,17,4,68,709,9,113,428,189,11,709,36,20,55.6,14,38.9,519,3187,1614,28,32,4,20,12,502,68,Matches,61,46.2,82,7,6,23,6,0.12,10,22,-12,-1.04,+0.45,12.8,18.6,-5.8,-0.50,-0.12,Matches,CURRENT
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22-343,2000,23,23,"2,066",23.0,1,0,1,1,0,0,4,0,0.8,0.8,1.0,1.9,29,134,35,0.04,0.00,0.04,0.04,0.04,0.04,0.05,0.08,0.04,0.08,Matches,23.0,35,20,14,18,3,20,35,57.1,15,28,7,21,23,58,17,0,41,1.79,36,0,2,2,0,1,0,0.00,0,0,0,0,0,0,Matches,23.0,4,0,56,32,0,8,23,20,0,0,1,149,10,12,45.5,Matches,1,12,3,25.0,0.52,0.13,0.08,0.33,20.3,0,0,0,0.8,0.07,+0.2,+0.2,Matches,23.0,1374,1502,91.5,21497,5260,688,739,93.1,572,604,94.7,67,89,75.3,0,1.0,1.8,-1.0,14,134,13,2,134,1682,46,272,1146,276,14,1682,32,18,56.3,9,28.1,1364,7074,2617,29,44,3,30,27,1308,35,Matches,90,91.8,90,21,0,,0,2.13,37,17,+20,+0.87,+1.36,42.1,24.3,+17.8,+0.78,+0.64,Matches,CURRENT
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-031,1993,17,16,"1,281",14.2,0,1,1,0,0,0,3,0,0.3,0.3,1.0,1.3,9,78,10,0.00,0.07,0.07,0.00,0.07,0.02,0.07,0.09,0.02,0.09,Matches,14.2,58,33,38,19,1,20,47,42.6,27,19,3,16,17,75,21,0,19,1.33,15,2,0,1,0,1,1,0.07,1,0,0,0,0,0,Matches,14.2,3,0,13,15,0,5,17,33,0,0,0,100,4,6,40.0,Matches,0,6,0,0.0,0.42,0.00,0.00,,22.8,0,0,0,0.3,0.05,-0.3,-0.3,Matches,14.2,588,678,86.7,9675,3587,278,300,92.7,242,274,88.3,44,68,64.7,1,1.0,0.8,0.0,9,59,7,0,78,842,44,282,489,82,4,842,16,10,62.5,5,31.3,615,2509,1095,9,13,0,17,12,567,10,Matches,75,56.9,78,9,1,26,0,2.06,24,21,+3,+0.21,+0.30,19.0,22.7,-3.7,-0.26,+0.19,Matches,CURRENT
Oliver Abildgaard,dk DEN,"MF,DF",Hellas Verona,it Serie A,26-267,1996,3,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.5,2,2,1,0,1,1,3,33.3,2,1,0,1,0,2,2,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0.5,0,0,2,1,0,0,0,2,0,0,0,5,3,2,60.0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,0.5,10,18,55.6,114,72,6,8,75.0,3,7,42.9,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,26,2,12,9,5,1,26,0,0,,0,,8,20,3,0,0,0,2,0,10,3,Matches,15,2.0,,0,3,15,1,1.33,0,0,0,0.00,+0.72,0.1,1.0,-0.8,-1.70,-1.47,Matches,CURRENT
Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,19-341,2003,9,6,514,5.7,2,1,3,1,1,2,0,0,2.7,1.1,0.5,1.6,9,8,27,0.35,0.18,0.53,0.18,0.35,0.46,0.08,0.55,0.19,0.27,Matches,5.7,3,1,0,2,1,0,5,0.0,5,5,1,4,1,4,1,0,12,2.10,7,0,4,0,1,0,3,0.53,1,0,1,0,1,0,Matches,5.7,0,0,8,6,4,5,1,1,1,0,0,11,7,13,35.0,Matches,2,13,4,30.8,2.28,0.70,0.08,0.25,23.1,0,1,2,2.7,0.08,-0.7,-0.1,Matches,5.7,47,71,66.2,767,182,22,32,68.8,20,25,80.0,3,7,42.9,1,0.5,0.2,+0.5,3,4,3,1,8,141,2,11,67,65,24,139,19,9,47.4,10,52.6,89,562,183,9,3,6,30,10,101,27,Matches,57,22.0,75,1,3,21,0,1.00,7,8,-1,-0.18,+1.06,7.9,6.3,+1.6,+0.29,+0.84,Matches,CURRENT
Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19-341,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Matches,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,7,5.94,2,0,0,3,1,1,2,1.70,0,0,0,0,1,1,Matches,1.2,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0,Matches,1,6,2,33.3,5.05,1.68,0.17,0.50,12.2,0,0,0,0.8,0.13,+0.2,+0.2,Matches,1.2,7,15,46.7,129,30,3,6,50.0,3,4,75.0,1,1,100.0,0,0.3,0.2,-0.3,2,1,1,0,2,37,1,1,15,22,15,37,0,0,,0,,27,174,105,4,1,2,10,1,27,11,Matches,10,4.8,,0,11,10,4,2.27,5,0,+5,+4.21,+3.70,2.9,1.3,+1.6,+1.36,+1.06,Matches,CURRENT
Abner,br BRA,DF,Betis,es La Liga,22-281,2000,6,5,362,4.0,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.2,3,11,16,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.30,0.25,0.30,Matches,4.0,11,8,9,2,0,7,11,63.6,4,4,2,2,6,17,14,0,5,1.24,3,1,1,0,0,0,1,0.25,1,0,0,0,0,0,Matches,4.0,2,0,7,2,0,6,6,8,0,1,0,22,4,9,30.8,Matches,0,3,1,33.3,0.75,0.25,0.00,0.00,9.6,0,0,0,1.0,0.34,-1.0,-1.0,Matches,4.0,153,208,73.6,2306,1004,83,95,87.4,54,76,71.1,8,19,42.1,0,0.2,0.4,-0.2,1,10,2,1,11,256,18,80,114,65,7,256,6,1,16.7,5,83.3,115,446,246,3,3,2,5,3,136,16,Matches,60,17.5,70,2,1,12,1,1.50,7,8,-1,-0.25,-0.67,8.1,8.0,+0.1,+0.02,-0.31,Matches,CURRENT
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23-014,2000,25,20,"1,754",19.5,6,5,11,6,0,0,3,0,6.3,6.3,2.3,8.6,62,45,177,0.31,0.26,0.56,0.31,0.56,0.32,0.12,0.44,0.32,0.44,Matches,19.5,22,15,9,5,8,6,28,21.4,22,12,1,11,16,38,16,0,47,2.41,29,0,3,6,8,1,5,0.26,3,0,1,0,1,0,Matches,19.5,3,0,29,37,14,17,16,15,0,0,0,90,8,25,24.2,Matches,6,55,19,34.5,2.82,0.97,0.11,0.32,17.9,0,0,0,6.3,0.11,-0.3,-0.3,Matches,19.5,355,496,71.6,4381,1084,242,297,81.5,83,117,70.9,6,17,35.3,5,2.3,1.9,+2.7,14,16,13,1,45,754,22,111,290,370,96,754,66,23,34.8,37,56.1,559,3595,1597,62,26,24,51,25,539,177,Matches,70,78.0,82,10,5,25,0,1.28,29,37,-8,-0.41,-1.14,26.0,30.8,-4.8,-0.25,-0.35,Matches,CURRENT
